assetKey,projectKey,locationKey
AustraliaBimbaya,AustraliaBimbaya,AustraliaPPL 44 (Bimbaya)
AustraliaMundi-Tarwonga-Kapinka,AustraliaMundi-Tarwonga-Kapinka,AustraliaPPL 41 (Mundi-Tarwonga-Kapinka)
AustraliaLloyd,AustraliaLloyd,AustraliaEP 129
AustraliaCuddapan,AustraliaCuddapan,AustraliaCuddapan
AustraliaBroadmeadow 2,AustraliaBroadmeadow 2,AustraliaPL 191 (Grosvenor)
AustraliaPintari North,AustraliaPintari North,AustraliaPPL 54 (Pintari North)
AustraliaOliver,AustraliaCash-Maple,AustraliaAC/P33 (AC02-1)
AustraliaYardanogo North,AustraliaYardanogo North,AustraliaL 11 (Beharra Springs)
AustraliaKatnook,AustraliaKatnook,AustraliaPPL 62 (Katnook)
AustraliaMunro,AustraliaMunro,AustraliaMunro
AustraliaVaranus,AustraliaVaranus,AustraliaPPL 55 (Varanus)
AustraliaEvans Shoal,AustraliaEvans Shoal,AustraliaNT/P48 (Evans Shoal)
AustraliaJames,AustraliaJames,AustraliaPPL 182 (James)
AustraliaBilyara,AustraliaBilyara,AustraliaAC/L7
AustraliaKirralee,AustraliaKirralee,AustraliaPPL 51 (Kirralee)
AustraliaArrakis,AustraliaArrakis,AustraliaPPL 61 (Arrakis)
AustraliaPaqualin,AustraliaPaqualin,AustraliaAC/P20 (Paqualin)
AustraliaMarsilea,AustraliaMarsilea,AustraliaPPL 13 (Marsilea)
AustraliaLindon,AustraliaPEP 150 (2006),AustraliaPEP 150 (2006)
AustraliaChinook/Scindian,AustraliaGriffin,AustraliaWA-10-L (Griffin)
AustraliaAnemone,AustraliaAnemone,AustraliaVIC/P45 (Anemone)
AustraliaMuthero,AustraliaMuthero,AustraliaPL 51
AustraliaRivoli,AustraliaRivoli,AustraliaEP 325 (Rivoli)
AustraliaJudith,AustraliaJudith,AustraliaVIC/P47
AustraliaNares,AustraliaNares,AustraliaEP 409 (Nasutus)
AustraliaPogona,AustraliaPogona,AustraliaPPL 83 (Pogona)
AustraliaCallabonna,AustraliaCallabonna,AustraliaPPL 176 (Callabonna)
AustraliaReids Dome,AustraliaReids Dome,AustraliaATP 333-P (Reids Dome)
AustraliaErregulla West,AustraliaCarynginia Shale,AustraliaEP 469
AustraliaAlisma,AustraliaAlisma,AustraliaPPL 232
AustraliaBoundary,AustraliaBoundary,AustraliaEP 129 (Lloyd)
AustraliaBeranga South,AustraliaBeranga South,AustraliaATP 375-P (Beranga South)
AustraliaTahbilk,AustraliaTahbilk,AustraliaAC/RL3 (Tahbilk)
AustraliaOcean Hill,AustraliaOcean Hill,AustraliaEP 320 (Mungenooka)
AustraliaWandoo,AustraliaWandoo,AustraliaWA-014-L (Wandoo)
AustraliaHalcyon,AustraliaHalcyon,AustraliaHalcyon
AustraliaSwan 3,AustraliaSwan 3,AustraliaAC/P21 (Swan 3)
AustraliaBoggy Creek,AustraliaBoggy Creek,AustraliaPPL 03 (Boggy Creek)
AustraliaMaitland,AustraliaMaitland,AustraliaWA-149-P (Maitland)
AustraliaFarina,AustraliaFarina,AustraliaPPL 70 (Farina)
AustraliaMacedon,AustraliaMacedon,AustraliaWA-012-R (Macedon-Pyrenees)
AustraliaMeridian SeamGas (Dawson River,AustraliaMeridian SeamGas,AustraliaPL 94 (Dawson River)
AustraliaPoint Torment,AustraliaPoint Torment,AustraliaR1 (Point Torment)
AustraliaStakeyard,AustraliaStakeyard,AustraliaPL 93 (Stakeyard)
AustraliaLa Bella,AustraliaLa Bella,AustraliaVIC/RL7 (La Bella)
AustraliaBerwick,AustraliaBerwick,AustraliaPL 70 (Berwick)
AustraliaMinerva,AustraliaMinerva,AustraliaVIC/L22 (Minerva)
AustraliaNebo,AustraliaNebo,AustraliaNebo
AustraliaStag,AustraliaStag,AustraliaWA-015-L (Stag)
AustraliaMudlalee,AustraliaMudlalee,AustraliaPPL 73 (Mudlalee)
AustraliaSnake Creek East,AustraliaSnake Creek East,AustraliaSnake Creek East
AustraliaCoonarah,AustraliaNarrabri CSG,AustraliaPPL 3 (Coonarah)
AustraliaKanook,AustraliaKanook,AustraliaATP 259-P (Kanook)
AustraliaNappacoongee East,AustraliaNappacoongee East,AustraliaPPL 100 (Nappacoongee East)
AustraliaBargie,AustraliaBargie,AustraliaPL 118 (Bargie)
AustraliaInland,AustraliaInland,AustraliaPL 98 (Inland)
AustraliaBunya,AustraliaBunya,AustraliaPL 115 (Bunya)
AustraliaFairview,AustraliaFairview,AustraliaPL 91 (Fairview)
AustraliaSolitaire,AustraliaSolitaire 2,AustraliaATP 549-P (Solitaire)
AustraliaLaminaria,AustraliaLaminaria-Corallina,AustraliaAC/L5 (Laminaria)
AustraliaCocos,AustraliaCocos,AustraliaPL 116 (Cocos)
AustraliaCentaur,AustraliaCentaur,AustraliaWA-015-L (Centaur)
AustraliaDunbar,AustraliaDunbar,AustraliaPPL 01 (Paaratte North)
AustraliaPeat,AustraliaPeat,AustraliaPL 101 (Peat)
AustraliaThylungra,AustraliaThylungra,AustraliaPL 184 (Thylungra)
AustraliaGwydion,AustraliaGwydion,AustraliaWA-239-P (Gwydion)
AustraliaCrossmore 2,AustraliaGalilee Gas,AustraliaATP 529-P (Rodney Creek 3)
AustraliaAscalon,AustraliaAscalon,AustraliaWA-407-P
AustraliaCaladan Northeast,AustraliaCaladan Northeast,AustraliaPPL 81 (Caladan Northeast)
AustraliaPlantago,AustraliaPlantago,AustraliaPPL 92 (Plantago)
AustraliaTopaz,AustraliaTopaz,AustraliaTopaz
AustraliaReg Sprigg,AustraliaReg Sprigg,AustraliaPPL 194
AustraliaScotia,AustraliaScotia,AustraliaPL 176 (Scotia CBM)
AustraliaVernon,AustraliaVernon,AustraliaPL 117 (Vernon)
AustraliaAllunga,AustraliaAllunga,AustraliaAllunga
AustraliaBuffalo,AustraliaBuffalo,AustraliaWA-19-L (Buffalo)
AustraliaGudi,AustraliaGudi,AustraliaPPL 125 (Gudi)
AustraliaDownlands East,AustraliaDownlands,AustraliaPL 119 (Downlands East)
AustraliaElegans,AustraliaElegans,AustraliaL 02 (Elegans)
AustraliaCornea,AustraliaCornea,AustraliaWA-342-P (Cornea)
AustraliaMerindal,AustraliaMerindal,AustraliaPPL 99 (Merindal)
AustraliaTarragon,AustraliaTarragon,AustraliaPPL 121 (Tarragon)
AustraliaCherring,AustraliaCherring,AustraliaWA-202-P R3
AustraliaUtopia,AustraliaUtopia joint venture,AustraliaATP 560-P (Utopia)
AustraliaMutineer,AustraliaMutineer-Exeter,AustraliaWA-26-L
AustraliaTenacious,AustraliaTenacious 1DW1,AustraliaAC/P17 (Audacious)
AustraliaAthena (Perseus),AustraliaAthena,AustraliaWA-017-L (Athena (1997 discovery))
AustraliaWippo South,AustraliaATP 259P (Naccowlah Block),AustraliaPL 149 (Wippo South)
AustraliaReindeer-Caribou,AustraliaReindeer-Caribou,AustraliaWA-209-P (Reindeer-Caribou)
AustraliaCabernet,AustraliaCabernet,AustraliaPPL 138 (Milluna)
AustraliaSpring Gully (x-Durham Ranch),AustraliaDurham Ranch,AustraliaPL 195 (Durham Ranch)
AustraliaScrubby Creek,AustraliaScrubby Creek,AustraliaPPL 195 (Scrubby Creek)
AustraliaFocus,AustraliaFocus,AustraliaWA-342-P (Sparkle)
AustraliaBluff,AustraliaBluff,AustraliaLaminaria East (Bluff)
AustraliaWelcome Lake East,AustraliaWelcome Lake East,AustraliaPPL 148 (Welcome Lake East)
AustraliaVienta,AustraliaVienta,AustraliaEP 386 (Waggon Creek)
AustraliaVerona,AustraliaVerona,AustraliaPPL 158 (Verona)
AustraliaVincent,AustraliaVincent,AustraliaWA-271-P (Enfield)
AustraliaMica,AustraliaMica,AustraliaPPL 160 (Mica)
